Year,LocationAbbr,LocationDesc,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,Longitude,Latitude
2016,TX,Texas,Prevention & Screenings,Up-to-date cervical cancer screening among females 21 to 65 years of age,Yes,%,Prevalence,70.7,116.0,263133.0,Disability Type,Vision Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-70.413121214397 48.616373164858),-70.413121214397,48.616373164858
2016,AK,Alaska,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,36.4,147.0,19328.0,Disability Status,Any Disability,Sex,Female,POINT (-72.060494402678 50.080273124490),-72.060494402678,50.08027312449
2016,CO,Colorado,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,Yes,%,Prevalence,37.6,145.0,95358.0,Disability Status,Any Disability,Age Group,18-44,POINT (-81.225277402766 61.366517174660),-81.225277402766,61.36651717466
2016,AL,Alabama,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,0 Days,%,Age-adjusted Prevalence,38.7,1219.0,530775.0,Disability Status,Any Disability,Sex,Male,POINT (-89.774329299427 43.335211103520),-89.774329299427,43.33521110352
2016,AL,Alabama,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,18.5,17.0,13979.0,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-80.085851934407 55.017660331078),-80.085851934407,55.017660331078
2016,AL,Alabama,Health Risks & Behaviors,Current e-cigarette use among adults 18 years of age or older,No,%,Prevalence,93.7,967.0,443868.0,Disability Status,Any Disability,Age Group,45-64,POINT (-86.416013587960 52.750655302500),-86.41601358796,52.7506553025
2016,CT,Connecticut,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,14+ Days,%,Age-adjusted Prevalence,29.5,307.0,84444.0,Disability Status,Any Disability,Sex,Male,POINT (-79.055894514747 56.076427807328),-79.055894514747,56.076427807328
2016,AR,Arkansas,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,59.1,224.0,61815.0,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-88.480522191732 55.910839304344),-88.480522191732,55.910839304344
2016,AR,Arkansas,Prevention & Screenings,Visited a dentist in the past year among adults 18 years of age or older,No,%,Prevalence,36.6,233.0,274814.0,Disability Status,No Disability,Age Group,18-44,POINT (-86.191676839343 54.548399726302),-86.191676839343,54.548399726302
2016,CA,California,Prevention & Screenings,Routine check-up in the past year among adults 18 years of age or older,No,%,Age-adjusted Prevalence,34.7,296.0,848837.0,Disability Status,Any Disability,Sex,Male,POINT (-84.708668301369 62.831295004408),-84.708668301369,62.831295004408
