Year,LocationAbbr,LocationDesc,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,Longitude,Latitude
2016,TX,Texas,Prevention & Screenings,Up-to-date cervical cancer screening among females 21 to 65 years of age,Yes,%,Prevalence,4.272490747605575,4.762173934797756,12.480418687109365,Disability Type,Vision Disability,Race/Ethnicity,"White, non-Hispanic",POINT (-70.413121214397 48.616373164858),-70.413121214397,48.616373164858
2016,AK,Alaska,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,3.6216707044204863,4.997212273764115,9.869361837806752,Disability Status,Any Disability,Sex,Female,POINT (-72.060494402678 50.080273124490),-72.060494402678,50.08027312449
2016,CO,Colorado,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,Yes,%,Prevalence,3.653252276470785,4.983606621708336,11.46540399566701,Disability Status,Any Disability,Age Group,18-44,POINT (-81.225277402766 61.366517174660),-81.225277402766,61.36651717466
2016,AL,Alabama,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,0 Days,%,Age-adjusted Prevalence,3.681351187693145,7.106606137727303,13.182095365647813,Disability Status,Any Disability,Sex,Male,POINT (-89.774329299427 43.335211103520),-89.774329299427,43.33521110352
2016,AL,Alabama,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,2.970414465569701,2.8903717578961645,9.5453830157878,Disability Status,No Disability,Race/Ethnicity,Hispanic,POINT (-80.085851934407 55.017660331078),-80.085851934407,55.017660331078
2016,AL,Alabama,Health Risks & Behaviors,Current e-cigarette use among adults 18 years of age or older,No,%,Prevalence,4.550714000192032,6.875232087276577,13.003284752834965,Disability Status,Any Disability,Age Group,45-64,POINT (-86.416013587960 52.750655302500),-86.41601358796,52.7506553025
2016,CT,Connecticut,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,14+ Days,%,Age-adjusted Prevalence,3.417726683613366,5.730099782973574,11.343855713852022,Disability Status,Any Disability,Sex,Male,POINT (-79.055894514747 56.076427807328),-79.055894514747,56.076427807328
2016,AR,Arkansas,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,4.096009841541162,5.41610040220442,11.03191750961342,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",POINT (-88.480522191732 55.910839304344),-88.480522191732,55.910839304344
2016,AR,Arkansas,Prevention & Screenings,Visited a dentist in the past year among adults 18 years of age or older,No,%,Prevalence,3.6270040503958487,5.455321115357702,12.523853422993454,Disability Status,No Disability,Age Group,18-44,POINT (-86.191676839343 54.548399726302),-86.191676839343,54.548399726302
2016,CA,California,Prevention & Screenings,Routine check-up in the past year among adults 18 years of age or older,No,%,Age-adjusted Prevalence,3.5751506887855933,5.6937321388027,13.651623634365572,Disability Status,Any Disability,Sex,Male,POINT (-84.708668301369 62.831295004408),-84.708668301369,62.831295004408
