Rowid,Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,Geolocation,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
,2016,TX,Texas,BRFSS,Prevention & Screenings,Up-to-date cervical cancer screening among females 21 to 65 years of age,Yes,%,Prevalence,70.7,70.7,,,56.2,82,116,263133,Disability Type,Vision Disability,,,PREVENT,UTDCERV,,48,YESNO01,PREV,DISTYPE,VISDIS,,
,2016,AK,Alaska,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Obese,%,Age-adjusted Prevalence,36.4,36.4,,,27.1,46.8,147,19328,Disability Status,Any Disability,Sex,Female,HLTHRB,BMI,,2,BMI04,AGEADJPREV,DISSTAT,DISABL,SEX,GENF
,2016,CO,Colorado,BRFSS,Barriers & Costs of Health Care,Personal doctor or health care provider among adults 18 years of age or older,None,%,Prevalence,37.6,37.6,,,32.4,43.1,145,95358,Disability Status,Any Disability,Age Group,18-44,BARRIER,PROVIDER,,8,PROVIDER01,PREV,DISSTAT,DISABL,AGEGRP,AGE01
,2016,AL,Alabama,BRFSS,Mental & Emotional Health,Mentally unhealthy days in the past 30 days among adults 18 years of age or older,0 Days,%,Age-adjusted Prevalence,38.7,38.7,,,35.5,42,1219,530775,Disability Status,Any Disability,,,MHLTH,MHDAYS,,1,DAYS01,AGEADJPREV,DISSTAT,DISABL,,
,2016,AL,Alabama,BRFSS,Health Risks & Behaviors,Body mass index category among adults 18 years of age or older,Normal Weight,%,Age-adjusted Prevalence,18.5,18.5,,,10.4,30.6,17,13979,Disability Status,No Disability,Race/Ethnicity,Hispanic,HLTHRB,BMI,,1,BMI02,AGEADJPREV,DISSTAT,NODIS,RACE,HIS
,2016,AL,Alabama,BRFSS,Health Risks & Behaviors,Current e-cigarette use among adults 18 years of age or older,No,%,Prevalence,93.7,93.7,,,91.7,95.3,967,443868,Disability Status,Any Disability,Age Group,45-64,HLTHRB,ECIG,,1,YESNO02,PREV,DISSTAT,DISABL,AGEGRP,AGE02
,2016,CT,Connecticut,BRFSS,General Health Conditions,Physically unhealthy days in the past 30 days among adults 18 years of age or older,14+ Days,%,Age-adjusted Prevalence,29.5,29.5,,,24.6,34.9,307,84444,Disability Status,Any Disability,Sex,Male,GENHLTH,PHDAYS,,9,DAYS03,AGEADJPREV,DISSTAT,DISABL,SEX,GENM
,2016,AR,Arkansas,BRFSS,Chronic Conditions,Ever had arthritis among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,59.1,59.1,,,45,71.7,224,61815,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",CHRCOND,ARTHRITIS,,5,YESNO01,AGEADJPREV,DISSTAT,DISABL,RACE,BLK
,2016,AR,Arkansas,BRFSS,Prevention & Screenings,Visited a dentist in the past year among adults 18 years of age or older,No,%,Prevalence,36.6,36.6,,,31.7,41.8,233,274814,Disability Status,No Disability,Age Group,18-44,PREVENT,DENTIST,,5,YESNO02,PREV,DISSTAT,NODIS,AGEGRP,AGE01
,2016,CA,California,BRFSS,Prevention & Screenings,Routine check-up in the past year among adults 18 years of age or older,No,%,Age-adjusted Prevalence,34.7,34.7,,,30.7,38.9,296,848837,Disability Status,Any Disability,Sex,Male,PREVENT,PHYSICAL,,6,YESNO02,AGEADJPREV,DISSTAT,DISABL,SEX,GENM
,2016,AR,Arkansas,BRFSS,Prevention & Screenings,Up-to-date colorectal cancer screening among adults 50 to 75 years of age,Yes,%,Prevalence,65.7,65.7,,,58.4,72.2,287,115826,Disability Status,Any Disability,Sex,Male,PREVENT,UTDCRC,,5,YESNO01,PREV,DISSTAT,DISABL,SEX,GENM
,2016,CO,Colorado,BRFSS,Barriers & Costs of Health Care,Health care coverage among adults 18 years of age or older,Yes,%,Age-adjusted Prevalence,91,91,,,88.1,93.3,912,277184,Disability Type,Cognitive Disability,,,BARRIER,INSURE,,8,YESNO01,AGEADJPREV,DISTYPE,COGDIS,,
